,0
Gewinn_Bet on Favorite,-68.92
Gewinn_Bet Double Chance,-123.50252975771397
Gewinn_Bet on Draw,-100.22999999999999
Gewinn_Bet on Underdog,-139.97000000000003
Gewinn_Bet on Favorite_Difference >4,-12.859999999999998
Gewinn_Bet Double Chance_Difference >4,-57.44122613417264
Gewinn_Bet on Draw_Difference >4,-67.37
Gewinn_Bet on Underdog_Difference >4,-28.5
Gewinn_Bet on Favorite_Difference <=4,-56.06
Gewinn_Bet Double Chance_Difference <=4,-66.06130362354132
Gewinn_Bet on Draw_Difference <=4,-32.86
Gewinn_Bet on Underdog_Difference <=4,-111.46999999999998
Gewinn_Bet on Favorite_Difference 1<x<2,2.8600000000000008
Gewinn_Bet Double Chance_Difference 1<x<2,-37.13331833503544
Gewinn_Bet on Draw_Difference 1<x<2,-0.3100000000000005
Gewinn_Bet on Underdog_Difference 1<x<2,-73.61
Gewinn_Bet on Favorite_HomeIsFav,-48.63999999999999
Gewinn_Bet Double Chance_HomeIsFav,-96.13507811141787
Gewinn_Bet on Draw_HomeIsFav,-58.57000000000001
Gewinn_Bet on Underdog_HomeIsFav,-122.86999999999999
Gewinn_Bet on Favorite_AwayIsFav,-20.279999999999994
Gewinn_Bet Double Chance_AwayIsFav,-27.367451646296086
Gewinn_Bet on Draw_AwayIsFav,-41.66000000000001
Gewinn_Bet on Underdog_AwayIsFav,-17.1
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,-10.669999999999998
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-52.35405196339124
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-62.89999999999999
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-21.5
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-37.97
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-43.78102614802661
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,4.3299999999999965
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-101.37
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,8.2
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-28.26220071608446
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,-1.700000000000002
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,-54.06
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,-2.1900000000000004
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-5.087174170781392
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-4.469999999999999
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,-7.0
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,-18.089999999999996
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-22.280277475514698
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-37.19
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,-10.099999999999998
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,-5.340000000000002
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-8.871117618950978
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,1.3899999999999988
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,-19.549999999999997
