,0
Gewinn_Bet on Favorite,-66.03
Gewinn_Bet Double Chance,-107.65593062099164
Gewinn_Bet on Draw,-142.34999999999997
Gewinn_Bet on Underdog,-11.319999999999993
Gewinn_Bet on Favorite_Difference >4,7.450000000000005
Gewinn_Bet Double Chance_Difference >4,-80.71648466853091
Gewinn_Bet on Draw_Difference >4,-115.82999999999998
Gewinn_Bet on Underdog_Difference >4,-11.25
Gewinn_Bet on Favorite_Difference <=4,-72.47999999999999
Gewinn_Bet Double Chance_Difference <=4,-25.93944595246073
Gewinn_Bet on Draw_Difference <=4,-25.520000000000017
Gewinn_Bet on Underdog_Difference <=4,0.9300000000000139
Gewinn_Bet on Favorite_Difference 1<x<2,-22.509999999999998
Gewinn_Bet Double Chance_Difference 1<x<2,-4.698285896127944
Gewinn_Bet on Draw_Difference 1<x<2,18.339999999999996
Gewinn_Bet on Underdog_Difference 1<x<2,-31.600000000000005
Gewinn_Bet on Favorite_HomeIsFav,-55.51999999999999
Gewinn_Bet Double Chance_HomeIsFav,-57.77084163393136
Gewinn_Bet on Draw_HomeIsFav,-11.39999999999999
Gewinn_Bet on Underdog_HomeIsFav,-76.07000000000002
Gewinn_Bet on Favorite_AwayIsFav,-9.509999999999991
Gewinn_Bet Double Chance_AwayIsFav,-48.8850889870603
Gewinn_Bet on Draw_AwayIsFav,-129.95
Gewinn_Bet on Underdog_AwayIsFav,65.75
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,-6.079999999999997
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-39.39121168721286
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-53.49
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-11.75
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-49.43999999999999
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-18.37962994671848
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,42.089999999999996
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-64.32
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-15.48
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-2.285615797661962
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,42.14
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,-51.04
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,13.530000000000005
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-41.32527298131805
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-62.34
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,0.5
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,-23.040000000000006
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-7.559816005742245
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-67.61
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,65.25
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,-7.03
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-2.41267009846598
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,-23.799999999999997
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,19.439999999999998
