,0
Gewinn_Bet on Favorite,-112.85000000000001
Gewinn_Bet Double Chance,-148.43431161156616
Gewinn_Bet on Draw,-116.14
Gewinn_Bet on Underdog,-191.62999999999997
Gewinn_Bet on Favorite_Difference >4,-26.569999999999997
Gewinn_Bet Double Chance_Difference >4,-85.00836251636798
Gewinn_Bet on Draw_Difference >4,-65.11000000000001
Gewinn_Bet on Underdog_Difference >4,-122.5
Gewinn_Bet on Favorite_Difference <=4,-86.28
Gewinn_Bet Double Chance_Difference <=4,-63.42594909519815
Gewinn_Bet on Draw_Difference <=4,-51.02999999999999
Gewinn_Bet on Underdog_Difference <=4,-69.13
Gewinn_Bet on Favorite_Difference 1<x<2,-28.46
Gewinn_Bet Double Chance_Difference 1<x<2,-17.876098797674143
Gewinn_Bet on Draw_Difference 1<x<2,-15.34
Gewinn_Bet on Underdog_Difference 1<x<2,-18.020000000000003
Gewinn_Bet on Favorite_HomeIsFav,-64.94999999999999
Gewinn_Bet Double Chance_HomeIsFav,-129.17238951367239
Gewinn_Bet on Draw_HomeIsFav,-95.52
Gewinn_Bet on Underdog_HomeIsFav,-191.68
Gewinn_Bet on Favorite_AwayIsFav,-47.900000000000006
Gewinn_Bet Double Chance_AwayIsFav,-19.261922097893752
Gewinn_Bet on Draw_AwayIsFav,-20.619999999999997
Gewinn_Bet on Underdog_AwayIsFav,0.04999999999999716
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,-16.43
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-73.22881086353975
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-33.91000000000001
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-142.75
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-48.52
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-55.94357865013262
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,-61.61
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-48.93
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-29.639999999999993
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-4.102127138743845
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,-29.189999999999994
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,25.189999999999994
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,-10.14
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-11.77955165282823
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-31.2
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,20.25
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,-37.76
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-7.482370445065526
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,10.579999999999998
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,-20.200000000000006
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,1.1800000000000006
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-13.773971658930298
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,13.85
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,-43.21
