,0
Gewinn_Bet on Favorite,-21.13
Gewinn_Bet Double Chance,-217.6955223345576
Gewinn_Bet on Draw,-212.45000000000002
Gewinn_Bet on Underdog,-223.43
Gewinn_Bet on Favorite_Difference >4,-9.55
Gewinn_Bet Double Chance_Difference >4,-80.74113683064124
Gewinn_Bet on Draw_Difference >4,-87.01
Gewinn_Bet on Underdog_Difference >4,-70.5
Gewinn_Bet on Favorite_Difference <=4,-9.579999999999993
Gewinn_Bet Double Chance_Difference <=4,-134.95438550391637
Gewinn_Bet on Draw_Difference <=4,-124.44
Gewinn_Bet on Underdog_Difference <=4,-150.93
Gewinn_Bet on Favorite_Difference 1<x<2,51.540000000000006
Gewinn_Bet Double Chance_Difference 1<x<2,-89.71149118737395
Gewinn_Bet on Draw_Difference 1<x<2,-112.38999999999999
Gewinn_Bet on Underdog_Difference 1<x<2,-69.02000000000001
Gewinn_Bet on Favorite_HomeIsFav,-27.679999999999993
Gewinn_Bet Double Chance_HomeIsFav,-156.86790508120424
Gewinn_Bet on Draw_HomeIsFav,-114.13
Gewinn_Bet on Underdog_HomeIsFav,-206.92000000000002
Gewinn_Bet on Favorite_AwayIsFav,8.549999999999999
Gewinn_Bet Double Chance_AwayIsFav,-58.82761725335336
Gewinn_Bet on Draw_AwayIsFav,-97.32000000000002
Gewinn_Bet on Underdog_AwayIsFav,-14.509999999999998
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,-11.729999999999997
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-63.74956474627588
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-58.56
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-71.0
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-15.949999999999992
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-93.11834033492838
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,-55.57000000000001
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-135.92000000000002
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,36.46
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-65.5017413588651
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,-73.97
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,-58.199999999999996
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,2.1800000000000006
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-16.991572084365355
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-28.450000000000003
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,0.5
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,6.37
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-41.836045168988
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-68.87
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,-15.009999999999991
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,15.080000000000002
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-24.209749828508844
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,-38.42
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,-10.82
