,0
Gewinn_Bet on Favorite,-116.28
Gewinn_Bet Double Chance,-48.47326761536442
Gewinn_Bet on Draw,-47.790000000000006
Gewinn_Bet on Underdog,-62.059999999999995
Gewinn_Bet on Favorite_Difference >4,-34.17
Gewinn_Bet Double Chance_Difference >4,0.973895905341335
Gewinn_Bet on Draw_Difference >4,23.700000000000006
Gewinn_Bet on Underdog_Difference >4,-36.25
Gewinn_Bet on Favorite_Difference <=4,-82.11
Gewinn_Bet Double Chance_Difference <=4,-49.44716352070574
Gewinn_Bet on Draw_Difference <=4,-71.49000000000001
Gewinn_Bet on Underdog_Difference <=4,-25.809999999999985
Gewinn_Bet on Favorite_Difference 1<x<2,-24.26
Gewinn_Bet Double Chance_Difference 1<x<2,-16.68994650831387
Gewinn_Bet on Draw_Difference 1<x<2,-22.15
Gewinn_Bet on Underdog_Difference 1<x<2,-7.170000000000002
Gewinn_Bet on Favorite_HomeIsFav,-62.989999999999995
Gewinn_Bet Double Chance_HomeIsFav,-45.174417004226896
Gewinn_Bet on Draw_HomeIsFav,6.649999999999999
Gewinn_Bet on Underdog_HomeIsFav,-113.85
Gewinn_Bet on Favorite_AwayIsFav,-53.29000000000001
Gewinn_Bet Double Chance_AwayIsFav,-3.298850611137521
Gewinn_Bet on Draw_AwayIsFav,-54.44
Gewinn_Bet on Underdog_AwayIsFav,51.790000000000006
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,-25.54
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,7.3122171709846775
Gewinn_Bet on Draw_HomeIsFav_Difference >4,40.209999999999994
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-41.5
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-37.45
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-52.48663417521156
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,-33.559999999999995
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-72.35000000000002
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-11.850000000000001
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-14.555631552763824
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,1.4600000000000009
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,-27.489999999999995
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,-8.63
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-6.338321265643348
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-16.51
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,5.25
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,-44.66
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,3.0394706545058217
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-37.93
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,46.540000000000006
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,-12.409999999999997
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-2.1343149555500522
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,-23.609999999999996
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,20.319999999999997
