,0
Gewinn_Bet on Favorite,-198.45
Gewinn_Bet Double Chance,-310.5188786927927
Gewinn_Bet on Draw,-210.43
Gewinn_Bet on Underdog,-441.44
Gewinn_Bet on Favorite_Difference >4,-2.080000000000002
Gewinn_Bet Double Chance_Difference >4,-164.80020716697302
Gewinn_Bet on Draw_Difference >4,-157.65
Gewinn_Bet on Underdog_Difference >4,-182.5
Gewinn_Bet on Favorite_Difference <=4,-86.37
Gewinn_Bet Double Chance_Difference <=4,-35.7186715258197
Gewinn_Bet on Draw_Difference <=4,53.22
Gewinn_Bet on Underdog_Difference <=4,-148.94
Gewinn_Bet on Favorite_Difference 1<x<2,-20.53
Gewinn_Bet Double Chance_Difference 1<x<2,-11.921239922456003
Gewinn_Bet on Draw_Difference 1<x<2,-0.3499999999999943
Gewinn_Bet on Underdog_Difference 1<x<2,-26.02
Gewinn_Bet on Favorite_HomeIsFav,-45.93
Gewinn_Bet Double Chance_HomeIsFav,-189.02168518844977
Gewinn_Bet on Draw_HomeIsFav,-91.86
Gewinn_Bet on Underdog_HomeIsFav,-307.94
Gewinn_Bet on Favorite_AwayIsFav,-42.52
Gewinn_Bet Double Chance_AwayIsFav,-11.49719350434296
Gewinn_Bet on Draw_AwayIsFav,-12.569999999999997
Gewinn_Bet on Underdog_AwayIsFav,-23.499999999999996
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,5.850000000000001
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-155.13026363004423
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-154.44
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-161.0
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-51.78
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-33.89142155840554
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,62.580000000000005
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-146.94
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-12.529999999999996
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-8.925744587016467
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,8.300000000000004
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,-29.400000000000002
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,-7.9300000000000015
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-9.669943536928795
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-3.21
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,-21.5
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,-34.589999999999996
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-1.8272499674141578
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-9.359999999999998
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,-2.0
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,-7.999999999999999
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-2.9954953354395366
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,-8.649999999999999
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,3.3800000000000017
