,0
Gewinn_Bet on Favorite,-51.55000000000001
Gewinn_Bet Double Chance,-210.4693499929956
Gewinn_Bet on Draw,-128.09999999999997
Gewinn_Bet on Underdog,-318.72
Gewinn_Bet on Favorite_Difference >4,-19.04
Gewinn_Bet Double Chance_Difference >4,-94.37670505837588
Gewinn_Bet on Draw_Difference >4,-101.0
Gewinn_Bet on Underdog_Difference >4,-102.25
Gewinn_Bet on Favorite_Difference <=4,-30.510000000000005
Gewinn_Bet Double Chance_Difference <=4,-114.09264493461976
Gewinn_Bet on Draw_Difference <=4,-25.099999999999998
Gewinn_Bet on Underdog_Difference <=4,-214.47
Gewinn_Bet on Favorite_Difference 1<x<2,-41.07
Gewinn_Bet Double Chance_Difference 1<x<2,-6.4387056381959376
Gewinn_Bet on Draw_Difference 1<x<2,33.27999999999999
Gewinn_Bet on Underdog_Difference 1<x<2,-49.010000000000005
Gewinn_Bet on Favorite_HomeIsFav,-69.85
Gewinn_Bet Double Chance_HomeIsFav,-105.51475102611364
Gewinn_Bet on Draw_HomeIsFav,-45.959999999999994
Gewinn_Bet on Underdog_HomeIsFav,-181.92
Gewinn_Bet on Favorite_AwayIsFav,20.3
Gewinn_Bet Double Chance_AwayIsFav,-102.95459896688197
Gewinn_Bet on Draw_AwayIsFav,-80.14000000000001
Gewinn_Bet on Underdog_AwayIsFav,-134.79999999999998
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,-23.839999999999996
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-58.018958822280545
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-60.44
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-69.75
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-46.01
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-47.49579220383309
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,14.480000000000004
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-112.16999999999999
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-47.54
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,14.930332054471023
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,28.05999999999999
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,0.8099999999999934
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,4.8000000000000025
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-36.35774623609534
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-40.56
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,-32.5
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,15.500000000000005
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-66.59685273078665
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-39.58000000000001
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,-102.3
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,6.469999999999999
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-21.369037692666964
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,5.219999999999995
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,-49.82000000000001
