,0
Gewinn_Bet on Favorite,-64.07
Gewinn_Bet Double Chance,-172.5130896040556
Gewinn_Bet on Draw,-148.51
Gewinn_Bet on Underdog,-190.33
Gewinn_Bet on Favorite_Difference >4,-42.23
Gewinn_Bet Double Chance_Difference >4,-49.61436423639857
Gewinn_Bet on Draw_Difference >4,-35.13000000000001
Gewinn_Bet on Underdog_Difference >4,-57.75
Gewinn_Bet on Favorite_Difference <=4,-21.839999999999996
Gewinn_Bet Double Chance_Difference <=4,-122.89872536765706
Gewinn_Bet on Draw_Difference <=4,-113.38
Gewinn_Bet on Underdog_Difference <=4,-132.57999999999998
Gewinn_Bet on Favorite_Difference 1<x<2,-12.630000000000006
Gewinn_Bet Double Chance_Difference 1<x<2,-32.77577564370755
Gewinn_Bet on Draw_Difference 1<x<2,-3.6999999999999993
Gewinn_Bet on Underdog_Difference 1<x<2,-61.17
Gewinn_Bet on Favorite_HomeIsFav,-32.660000000000004
Gewinn_Bet Double Chance_HomeIsFav,-138.80198086534213
Gewinn_Bet on Draw_HomeIsFav,-122.71
Gewinn_Bet on Underdog_HomeIsFav,-151.82999999999998
Gewinn_Bet on Favorite_AwayIsFav,-31.41
Gewinn_Bet Double Chance_AwayIsFav,-33.711108738713506
Gewinn_Bet on Draw_AwayIsFav,-25.799999999999997
Gewinn_Bet on Underdog_AwayIsFav,-38.5
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,-31.73
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-42.83778696835746
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-25.92
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-55.0
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-0.9299999999999997
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-95.96419389698465
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,-96.78999999999999
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-96.83
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-8.97000000000001
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-23.084588954378763
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,3.0
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,-47.739999999999995
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,-10.499999999999998
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-6.7765772680411
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-9.209999999999999
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,-2.75
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,-20.91
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-26.934531470672404
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-16.59000000000001
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,-35.74999999999999
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,-3.660000000000001
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-9.691186689328777
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,-6.699999999999999
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,-13.43
