,0
Gewinn_Bet on Favorite,-84.5
Gewinn_Bet Double Chance,-71.18674695343412
Gewinn_Bet on Draw,-103.77000000000001
Gewinn_Bet on Underdog,-57.78999999999999
Gewinn_Bet on Favorite_Difference >4,-19.57
Gewinn_Bet Double Chance_Difference >4,-26.657916779060084
Gewinn_Bet on Draw_Difference >4,1.240000000000001
Gewinn_Bet on Underdog_Difference >4,-71.25
Gewinn_Bet on Favorite_Difference <=4,-64.93
Gewinn_Bet Double Chance_Difference <=4,-44.52883017437404
Gewinn_Bet on Draw_Difference <=4,-105.01
Gewinn_Bet on Underdog_Difference <=4,13.46
Gewinn_Bet on Favorite_Difference 1<x<2,-13.78
Gewinn_Bet Double Chance_Difference 1<x<2,-13.76791268891625
Gewinn_Bet on Draw_Difference 1<x<2,-44.34
Gewinn_Bet on Underdog_Difference 1<x<2,17.4
Gewinn_Bet on Favorite_HomeIsFav,-67.5
Gewinn_Bet Double Chance_HomeIsFav,-31.40624399077425
Gewinn_Bet on Draw_HomeIsFav,-29.47
Gewinn_Bet on Underdog_HomeIsFav,-53.31
Gewinn_Bet on Favorite_AwayIsFav,-17.0
Gewinn_Bet Double Chance_AwayIsFav,-39.78050296265987
Gewinn_Bet on Draw_AwayIsFav,-74.3
Gewinn_Bet on Underdog_AwayIsFav,-4.479999999999997
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,-10.75
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-15.001375229082122
Gewinn_Bet on Draw_HomeIsFav_Difference >4,13.01
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-59.75
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-56.75
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-16.40486876169213
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,-42.48000000000001
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,6.440000000000012
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-17.43
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-3.8066841265420712
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,-29.530000000000005
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,22.400000000000002
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,-8.82
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-11.656541549977957
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-11.770000000000003
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,-11.5
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,-8.18
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-28.123961412681915
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-62.53
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,7.019999999999996
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,3.6499999999999986
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-9.961228562374178
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,-14.809999999999999
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,-5.0
