,0
Gewinn_Bet on Favorite,-44.169999999999995
Gewinn_Bet Double Chance,-211.08366134121573
Gewinn_Bet on Draw,-156.28
Gewinn_Bet on Underdog,-260.25
Gewinn_Bet on Favorite_Difference >4,6.350000000000002
Gewinn_Bet Double Chance_Difference >4,-94.77047178075199
Gewinn_Bet on Draw_Difference >4,-94.92999999999999
Gewinn_Bet on Underdog_Difference >4,-89.75
Gewinn_Bet on Favorite_Difference <=4,-40.52
Gewinn_Bet Double Chance_Difference <=4,-106.31318956046374
Gewinn_Bet on Draw_Difference <=4,-52.349999999999994
Gewinn_Bet on Underdog_Difference <=4,-160.5
Gewinn_Bet on Favorite_Difference 1<x<2,-13.949999999999998
Gewinn_Bet Double Chance_Difference 1<x<2,-37.68483359692725
Gewinn_Bet on Draw_Difference 1<x<2,-1.4100000000000001
Gewinn_Bet on Underdog_Difference 1<x<2,-74.75
Gewinn_Bet on Favorite_HomeIsFav,-40.09999999999999
Gewinn_Bet Double Chance_HomeIsFav,-138.00461116612354
Gewinn_Bet on Draw_HomeIsFav,-69.25
Gewinn_Bet on Underdog_HomeIsFav,-213.88
Gewinn_Bet on Favorite_AwayIsFav,5.93
Gewinn_Bet Double Chance_AwayIsFav,-63.07905017509219
Gewinn_Bet on Draw_AwayIsFav,-78.03
Gewinn_Bet on Underdog_AwayIsFav,-36.370000000000005
Gewinn_Bet on Favorite_HomeIsFav_Difference >4,5.320000000000001
Gewinn_Bet Double Chance_HomeIsFav_Difference >4,-83.2610384020052
Gewinn_Bet on Draw_HomeIsFav_Difference >4,-74.99000000000001
Gewinn_Bet on Underdog_HomeIsFav_Difference >4,-94.25
Gewinn_Bet on Favorite_HomeIsFav_Difference <=4,-45.42
Gewinn_Bet Double Chance_HomeIsFav_Difference <=4,-54.743572764118355
Gewinn_Bet on Draw_HomeIsFav_Difference <=4,5.740000000000004
Gewinn_Bet on Underdog_HomeIsFav_Difference <=4,-119.63000000000001
Gewinn_Bet on Favorite_HomeIsFav_Difference 1<x<2,-8.560000000000002
Gewinn_Bet Double Chance_HomeIsFav_Difference 1<x<2,-27.594354243442474
Gewinn_Bet on Draw_HomeIsFav_Difference 1<x<2,9.739999999999998
Gewinn_Bet on Underdog_HomeIsFav_Difference 1<x<2,-66.87
Gewinn_Bet on Favorite_AwayIsFav_Difference >4,1.0300000000000011
Gewinn_Bet Double Chance_AwayIsFav_Difference >4,-11.509433378746786
Gewinn_Bet on Draw_AwayIsFav_Difference >4,-19.94
Gewinn_Bet on Underdog_AwayIsFav_Difference >4,4.5
Gewinn_Bet on Favorite_AwayIsFav_Difference <=4,4.900000000000002
Gewinn_Bet Double Chance_AwayIsFav_Difference <=4,-51.56961679634541
Gewinn_Bet on Draw_AwayIsFav_Difference <=4,-58.09
Gewinn_Bet on Underdog_AwayIsFav_Difference <=4,-40.870000000000005
Gewinn_Bet on Favorite_AwayIsFav_Difference 1<x<2,-5.390000000000001
Gewinn_Bet Double Chance_AwayIsFav_Difference 1<x<2,-10.090479353484767
Gewinn_Bet on Draw_AwayIsFav_Difference 1<x<2,-11.149999999999999
Gewinn_Bet on Underdog_AwayIsFav_Difference 1<x<2,-7.880000000000001
